Conc. Strain	Neutral Axis	Steel Strain	Conc. Comp.	Steel Comp.	Steel Ten.	Prestress	Net Force	Curvature	Moment
0	0	0	0	0	0	0	0	0	0
-1,175E-05	0,1409	3,585E-05	-0,6382	-0,0676	0,6896	0	-0,0163	1,077E-04	0,2414
-2,905E-05	0,1421	8,995E-05	-1,5615	-0,1652	1,733	0	6,380E-03	2,692E-04	0,5968
-5,234E-05	0,142	1,619E-04	-2,8162	-0,298	3,1179	0	3,745E-03	4,846E-04	1,0754
-8,145E-05	0,142	2,518E-04	-4,3833	-0,4638	4,8495	0	2,384E-03	7,538E-04	1,6733
-1,164E-04	0,1419	3,596E-04	-6,263	-0,6627	6,9275	0	1,838E-03	1,077E-03	2,3907
-1,571E-04	0,1419	4,855E-04	-8,4557	-0,8947	9,3519	0	1,493E-03	1,454E-03	3,2276
-2,033E-04	0,1421	6,297E-04	-10,9263	-1,1559	12,1322	0	0,05	1,885E-03	4,1771
-2,560E-04	0,1419	7,912E-04	-13,7503	-1,458	15,2404	0	0,0321	2,369E-03	5,2526
-3,152E-04	0,1416	9,700E-04	-16,8469	-1,8023	18,6739	0	0,0248	2,908E-03	6,4349
-3,809E-04	0,1412	1,166E-03	-20,2247	-2,1878	22,4351	0	0,0227	3,500E-03	7,7277
-4,531E-04	0,1407	1,380E-03	-23,8962	-2,6139	26,5251	0	0,015	4,146E-03	9,1346
-5,321E-04	0,1402	1,610E-03	-27,8346	-3,0863	30,9307	0	9,733E-03	4,846E-03	10,6465
-6,183E-04	0,1396	1,857E-03	-32,0288	-3,6082	35,6446	0	7,538E-03	5,600E-03	12,2606
-7,066E-04	0,1397	2,126E-03	-36,0004	-4,1177	40,1145	0	-3,594E-03	6,408E-03	13,7531
-7,792E-04	0,1428	2,434E-03	-38,0763	-4,3967	42,4541	0	-0,0188	7,269E-03	14,3402
-8,565E-04	0,1454	2,761E-03	-40,2643	-4,694	44,9387	0	-0,0196	8,185E-03	14,955
-9,387E-04	0,1475	3,107E-03	-42,5724	-5,0129	47,5641	0	-0,0213	9,154E-03	15,6001
-1,018E-03	0,15	3,480E-03	-44,3196	-5,2559	49,5681	0	-7,418E-03	0,0102	16,0657
-1,090E-03	0,1532	3,885E-03	-45,2835	-5,371	50,6213	0	-0,0332	0,0113	16,2725
-1,164E-03	0,156	4,310E-03	-46,2865	-5,4825	51,7333	0	-0,0357	0,0124	16,4792
-1,242E-03	0,1584	4,755E-03	-47,3369	-5,5983	52,8989	0	-0,0363	0,0136	16,6886
-1,324E-03	0,1606	5,221E-03	-48,433	-5,7186	54,118	0	-0,0336	0,0148	16,9017
-1,409E-03	0,1625	5,707E-03	-49,5754	-5,8479	55,3876	0	-0,0357	0,0161	17,1196
-1,499E-03	0,1641	6,212E-03	-50,7491	-5,9899	56,7053	0	-0,0337	0,0174	17,3395
-1,593E-03	0,1655	6,737E-03	-51,9569	-6,1462	58,0699	0	-0,0332	0,0188	17,5633
-1,689E-03	0,1668	7,283E-03	-53,0694	-6,295	59,3531	0	-0,0112	0,0203	17,768
-1,769E-03	0,1689	7,870E-03	-53,1618	-6,1931	59,3531	0	-1,854E-03	0,0218	17,8008
-1,851E-03	0,1708	8,478E-03	-53,3006	-6,0925	59,3531	0	-0,0399	0,0234	17,8393
-1,935E-03	0,1725	9,108E-03	-53,4114	-5,9785	59,3531	0	-0,0368	0,025	17,8658
-2,023E-03	0,1741	9,758E-03	-53,5272	-5,8605	59,3531	0	-0,0345	0,0267	17,8892
-2,117E-03	0,1754	0,0104	-53,7471	-5,7887	59,5045	0	-0,0313	0,0284	17,9662
-2,218E-03	0,1765	0,0111	-54,0208	-5,7623	59,7479	0	-0,0352	0,0302	18,0746
-2,324E-03	0,1774	0,0118	-54,2721	-5,7594	59,9979	0	-0,0336	0,032	18,1795
-2,435E-03	0,1781	0,0125	-54,5019	-5,7833	60,2545	0	-0,0308	0,0339	18,2821
-2,552E-03	0,1787	0,0133	-54,7089	-5,8367	60,5175	0	-0,028	0,0358	18,383
-2,674E-03	0,1793	0,014	-54,8906	-5,922	60,787	0	-0,0256	0,0378	18,4826
-2,802E-03	0,1797	0,0148	-55,0447	-6,0416	61,0629	0	-0,0234	0,0398	18,5809
-2,939E-03	0,1799	0,0156	-55,1987	-6,2166	61,3996	0	-0,0157	0,0419	18,6909
-3,084E-03	0,1801	0,0164	-55,3658	-6,4649	61,8124	0	-0,0184	0,0441	18,8192
-3,236E-03	0,1801	0,0172	-55,4914	-6,7607	62,2334	0	-0,0187	0,0463	18,9463
-3,395E-03	0,1801	0,0181	-55,5729	-7,1079	62,6626	0	-0,0182	0,0486	19,0725
-3,562E-03	0,18	0,0189	-55,6073	-7,5101	63,0998	0	-0,0176	0,0509	19,1977
-3,737E-03	0,1798	0,0198	-55,5897	-7,97	63,5448	0	-0,0149	0,0533	19,3217
-3,920E-03	0,1796	0,0207	-55,5194	-8,4895	63,9975	0	-0,0114	0,0557	19,4445
-4,111E-03	0,1793	0,0216	-55,3952	-9,0753	64,4577	0	-0,0128	0,0582	19,5671
-4,311E-03	0,179	0,0225	-55,2079	-9,7305	64,9251	0	-0,0132	0,0607	19,6882
-4,520E-03	0,1786	0,0234	-54,9533	-10,4599	65,3996	0	-0,0135	0,0633	19,8078
-4,739E-03	0,1781	0,0244	-54,6279	-11,2621	65,8812	0	-8,783E-03	0,0659	19,9249
-4,968E-03	0,1776	0,0254	-54,2418	-12,1604	66,3688	0	-0,0334	0,0686	20,0452
