	Curve 1	0 degrees		Curve 2	15 degrees		Curve 3	30 degrees		Curve 4	45 degrees		Curve 5	60 degrees		Curve 6	75 degrees		Curve 7	90 degrees		Curve 8	105 degrees		Curve 9	120 degrees		Curve 10	135 degrees		Curve 11	150 degrees		Curve 12	165 degrees		Curve 13	180 degrees		Curve 14	195 degrees		Curve 15	210 degrees		Curve 16	225 degrees		Curve 17	240 degrees		Curve 18	255 degrees		Curve 19	270 degrees		Curve 20	285 degrees		Curve 21	300 degrees		Curve 22	315 degrees		Curve 23	330 degrees		Curve 24	345 degrees	
																																																																								
1	-277,9869	0	0	-277,9869	0	0	-277,9869	0	0	-277,9869	0	0	-277,9869	0	0	-277,9869	0	0	-277,9869	0	0	-277,9869	0	0	-277,9869	0	0	-277,9869	0	0	-277,9869	0	0	-277,9869	0	0	-277,9869	0	0	-277,9869	0	0	-277,9869	0	0	-277,9869	0	0	-277,9869	0	0	-277,9869	0	0	-277,9869	0	0	-277,9869	0	0	-277,9869	0	0	-277,9869	0	0	-277,9869	0	0	-277,9869	0	0
2	-277,9869	0	10,0409	-277,9869	1,5861	5,6066	-277,9869	1,7047	4,189	-277,9869	1,9089	3,4733	-277,9869	2,2629	2,9613	-277,9869	2,9865	2,5013	-277,9869	7,1623	0	-277,9869	2,9865	-2,5013	-277,9869	2,2629	-2,9613	-277,9869	1,9089	-3,4733	-277,9869	1,7047	-4,189	-277,9869	1,5861	-5,6066	-277,9869	0	-10,0409	-277,9869	-1,5861	-5,6066	-277,9869	-1,7047	-4,189	-277,9869	-1,9089	-3,4733	-277,9869	-2,2629	-2,9613	-277,9869	-2,9865	-2,5013	-277,9869	-7,1623	0	-277,9869	-2,9865	2,5013	-277,9869	-2,2629	2,9613	-277,9869	-1,9089	3,4733	-277,9869	-1,7047	4,189	-277,9869	-1,5861	5,6066
3	-259,1093	0	15,9583	-274,9245	1,8974	13,2777	-277,9869	3,6826	9,8352	-277,9869	4,4644	8,0397	-277,9869	5,2837	6,7958	-277,9869	7,1883	5,1938	-256,299	11,3994	0	-277,9869	7,1883	-5,1938	-277,9869	5,2837	-6,7958	-277,9869	4,4644	-8,0397	-277,9869	3,6826	-9,8352	-274,9245	1,8974	-13,2777	-259,1093	0	-15,9583	-274,9245	-1,8974	-13,2777	-277,9869	-3,6826	-9,8352	-277,9869	-4,4644	-8,0397	-277,9869	-5,2837	-6,7958	-277,9869	-7,1883	-5,1938	-256,299	-11,3994	0	-277,9869	-7,1883	5,1938	-277,9869	-5,2837	6,7958	-277,9869	-4,4644	8,0397	-277,9869	-3,6826	9,8352	-274,9245	-1,8974	13,2777
4	-218,8949	0	20,3888	-229,0403	1,9524	19,0526	-239,0288	4,2226	16,8313	-248,888	6,7111	13,5277	-249,5845	8,81	10,6062	-234,8012	12,1227	5,806	-214,5837	14,5244	0	-234,8012	12,1227	-5,806	-249,5845	8,81	-10,6062	-248,888	6,7111	-13,5277	-239,0288	4,2226	-16,8313	-229,0403	1,9524	-19,0526	-218,8949	0	-20,3888	-229,0403	-1,9524	-19,0526	-239,0288	-4,2226	-16,8313	-248,888	-6,7111	-13,5277	-249,5845	-8,81	-10,6062	-234,8012	-12,1227	-5,806	-214,5837	-14,5244	0	-234,8012	-12,1227	5,806	-249,5845	-8,81	10,6062	-248,888	-6,7111	13,5277	-239,0288	-4,2226	16,8313	-229,0403	-1,9524	19,0526
5	-176,5504	0	23,2184	-179,73	2,1075	22,4476	-181,3622	4,4471	20,9726	-184,032	7,4517	18,2099	-183,5273	11,6803	12,5551	-177,2593	14,7815	6,177	-169,8051	16,4889	0	-177,2593	14,7815	-6,177	-183,5273	11,6803	-12,5551	-184,032	7,4517	-18,2099	-181,3622	4,4471	-20,9726	-179,73	2,1075	-22,4476	-176,5504	0	-23,2184	-179,73	-2,1075	-22,4476	-181,3622	-4,4471	-20,9726	-184,032	-7,4517	-18,2099	-183,5273	-11,6803	-12,5551	-177,2593	-14,7815	-6,177	-169,8051	-16,4889	0	-177,2593	-14,7815	6,177	-183,5273	-11,6803	12,5551	-184,032	-7,4517	18,2099	-181,3622	-4,4471	20,9726	-179,73	-2,1075	22,4476
6	-128,5323	0	24,7885	-124,8055	2,2731	23,6206	-118,6488	4,7914	21,6818	-110,4207	7,9729	18,3647	-105,9067	11,6137	13,2484	-112,8149	15,0761	6,7346	-119,2015	17,4353	0	-112,8149	15,0761	-6,7346	-105,9067	11,6137	-13,2484	-110,4207	7,9729	-18,3647	-118,6488	4,7914	-21,6818	-124,8055	2,2731	-23,6206	-128,5323	0	-24,7885	-124,8055	-2,2731	-23,6206	-118,6488	-4,7914	-21,6818	-110,4207	-7,9729	-18,3647	-105,9067	-11,6137	-13,2484	-112,8149	-15,0761	-6,7346	-119,2015	-17,4353	0	-112,8149	-15,0761	6,7346	-105,9067	-11,6137	13,2484	-110,4207	-7,9729	18,3647	-118,6488	-4,7914	21,6818	-124,8055	-2,2731	23,6206
7	-111,3777	0	27,3942	-96,2181	2,6519	25,4434	-80,2022	5,5792	22,4211	-65,5454	8,7765	17,8607	-61,5469	11,3864	13,8371	-75,9932	15,4415	7,5926	-102,4821	18,6164	0	-75,9932	15,4415	-7,5926	-61,5469	11,3864	-13,8371	-65,5454	8,7765	-17,8607	-80,2022	5,5792	-22,4211	-96,2181	2,6519	-25,4434	-111,3777	0	-27,3942	-96,2181	-2,6519	-25,4434	-80,2022	-5,5792	-22,4211	-65,5454	-8,7765	-17,8607	-61,5469	-11,3864	-13,8371	-75,9932	-15,4415	-7,5926	-102,4821	-18,6164	0	-75,9932	-15,4415	7,5926	-61,5469	-11,3864	13,8371	-65,5454	-8,7765	17,8607	-80,2022	-5,5792	22,4211	-96,2181	-2,6519	25,4434
8	-84,2817	0	28,6201	-56,565	3,1191	24,3954	-29,5691	6,3448	18,9034	-15,9587	8,0783	15,1161	-11,9226	9,7038	12,2483	-28,0861	12,8481	8,7263	-72,8741	18,9486	0	-28,0861	12,8481	-8,7263	-11,9226	9,7038	-12,2483	-15,9587	8,0783	-15,1161	-29,5691	6,3448	-18,9034	-56,565	3,1191	-24,3954	-84,2817	0	-28,6201	-56,565	-3,1191	-24,3954	-29,5691	-6,3448	-18,9034	-15,9587	-8,0783	-15,1161	-11,9226	-9,7038	-12,2483	-28,0861	-12,8481	-8,7263	-72,8741	-18,9486	0	-28,0861	-12,8481	8,7263	-11,9226	-9,7038	12,2483	-15,9587	-8,0783	15,1161	-29,5691	-6,3448	18,9034	-56,565	-3,1191	24,3954
9	-31,3096	0	21,6939	2,8092	2,9133	15,1122	25,9778	4,4732	9,9465	33,9726	4,7416	7,9642	36,8774	5,0297	6,8861	28,9666	6,426	6,4089	-28,6685	14,2506	0	28,9666	6,426	-6,4089	36,8774	5,0297	-6,8861	33,9726	4,7416	-7,9642	25,9778	4,4732	-9,9465	2,8092	2,9133	-15,1122	-31,3096	0	-21,6939	2,8092	-2,9133	-15,1122	25,9778	-4,4732	-9,9465	33,9726	-4,7416	-7,9642	36,8774	-5,0297	-6,8861	28,9666	-6,426	-6,4089	-28,6685	-14,2506	0	28,9666	-6,426	6,4089	36,8774	-5,0297	6,8861	33,9726	-4,7416	7,9642	25,9778	-4,4732	9,9465	2,8092	-2,9133	15,1122
